latitude,longitude,median_income,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_NEAR BAY,total_rooms,median_house_value
37.88,-122.23,8.3252,0.0,0.0,1.0,880.0,452600.0
37.85,-122.24,7.2574,0.0,0.0,1.0,1467.0,352100.0
37.85,-122.25,5.6431,0.0,0.0,1.0,1274.0,341300.0
37.85,-122.25,3.8462,0.0,0.0,1.0,1627.0,342200.0
37.85,-122.25,4.0368,0.0,0.0,1.0,919.0,269700.0
37.84,-122.25,3.6591,0.0,0.0,1.0,2535.0,299200.0
37.84,-122.25,3.12,0.0,0.0,1.0,3104.0,241400.0
37.84,-122.26,2.0804,0.0,0.0,1.0,2555.0,226700.0
37.84,-122.25,3.6912,0.0,0.0,1.0,3549.0,261100.0
37.85,-122.26,3.2031,0.0,0.0,1.0,2202.0,281500.0
37.85,-122.26,3.2705,0.0,0.0,1.0,3503.0,241800.0
37.85,-122.26,3.075,0.0,0.0,1.0,2491.0,213500.0
37.84,-122.26,2.6736,0.0,0.0,1.0,696.0,191300.0
37.85,-122.26,1.9167,0.0,0.0,1.0,2643.0,159200.0
37.85,-122.26,2.125,0.0,0.0,1.0,1120.0,140000.0
37.85,-122.27,2.775,0.0,0.0,1.0,1966.0,152500.0
37.85,-122.27,2.1202,0.0,0.0,1.0,1228.0,155500.0
37.84,-122.26,1.9911,0.0,0.0,1.0,2239.0,158700.0
37.84,-122.27,2.6033,0.0,0.0,1.0,1503.0,162900.0
37.85,-122.27,1.3578,0.0,0.0,1.0,751.0,147500.0
37.85,-122.27,1.7135,0.0,0.0,1.0,1639.0,159800.0
37.84,-122.27,1.725,0.0,0.0,1.0,2436.0,113900.0
37.84,-122.27,2.1806,0.0,0.0,1.0,1688.0,99700.0
37.84,-122.27,2.6,0.0,0.0,1.0,2224.0,132600.0
37.85,-122.28,2.4038,0.0,0.0,1.0,535.0,107500.0
37.85,-122.28,2.4597,0.0,0.0,1.0,1130.0,93800.0
37.85,-122.28,1.808,0.0,0.0,1.0,1898.0,105500.0
37.84,-122.28,1.6424,0.0,0.0,1.0,2082.0,108900.0
37.84,-122.28,1.6875,0.0,0.0,1.0,729.0,132000.0
37.84,-122.28,1.9274,0.0,0.0,1.0,1916.0,122300.0
37.84,-122.28,1.9615,0.0,0.0,1.0,2153.0,115200.0
37.84,-122.27,1.7969,0.0,0.0,1.0,1922.0,110400.0
37.83,-122.27,1.375,0.0,0.0,1.0,1655.0,104900.0
37.83,-122.27,2.7303,0.0,0.0,1.0,2665.0,109700.0
37.83,-122.27,1.4861,0.0,0.0,1.0,1215.0,97200.0
37.83,-122.27,1.0972,0.0,0.0,1.0,1798.0,104500.0
37.83,-122.28,1.4103,0.0,0.0,1.0,1511.0,103900.0
37.83,-122.26,3.48,0.0,0.0,1.0,1470.0,191400.0
37.83,-122.26,2.5898,0.0,0.0,1.0,2432.0,176000.0
37.83,-122.26,2.0978,0.0,0.0,1.0,1665.0,155400.0
37.83,-122.26,1.2852,0.0,0.0,1.0,936.0,150000.0
37.84,-122.26,1.025,0.0,0.0,1.0,713.0,118800.0
37.84,-122.26,3.9643,0.0,0.0,1.0,950.0,188800.0
37.83,-122.26,3.0125,0.0,0.0,1.0,1443.0,184400.0
37.83,-122.26,2.6768,0.0,0.0,1.0,1656.0,182300.0
37.83,-122.26,2.026,0.0,0.0,1.0,1125.0,142500.0
37.82,-122.27,1.7348,0.0,0.0,1.0,1007.0,137500.0
37.82,-122.26,0.9506,0.0,0.0,1.0,624.0,187500.0
37.82,-122.27,1.775,0.0,0.0,1.0,946.0,112500.0
37.82,-122.27,0.9218,0.0,0.0,1.0,896.0,171900.0
37.82,-122.27,1.5045,0.0,0.0,1.0,1868.0,93800.0
37.82,-122.27,1.1108,0.0,0.0,1.0,3221.0,97500.0
37.82,-122.27,1.2475,0.0,0.0,1.0,1630.0,104200.0
37.82,-122.28,1.6098,0.0,0.0,1.0,1170.0,87500.0
37.82,-122.28,1.4113,0.0,0.0,1.0,945.0,83100.0
37.82,-122.28,1.5057,0.0,0.0,1.0,1238.0,87500.0
37.82,-122.28,0.8172,0.0,0.0,1.0,1489.0,85300.0
37.82,-122.28,1.2171,0.0,0.0,1.0,1387.0,80300.0
37.82,-122.29,2.5625,0.0,0.0,1.0,158.0,60000.0
37.83,-122.29,3.3929,0.0,0.0,1.0,1121.0,75700.0
37.82,-122.29,6.1183,0.0,0.0,1.0,135.0,75000.0
37.81,-122.29,0.9011,0.0,0.0,1.0,760.0,86100.0
37.81,-122.3,1.191,0.0,0.0,1.0,1224.0,76100.0
37.81,-122.3,2.5938,0.0,0.0,1.0,828.0,73500.0
37.81,-122.3,1.1667,0.0,0.0,1.0,1010.0,78400.0
37.81,-122.3,0.8056,0.0,0.0,1.0,1455.0,84400.0
37.8,-122.29,2.6094,0.0,0.0,1.0,1027.0,81300.0
37.81,-122.3,1.8516,0.0,0.0,1.0,572.0,85000.0
37.81,-122.29,0.9802,0.0,0.0,1.0,2801.0,129200.0
37.81,-122.29,1.7719,0.0,0.0,1.0,768.0,82500.0
37.81,-122.29,0.7286,0.0,0.0,1.0,935.0,95200.0
